transaction_id,timestamp,customer_id,quantity,discount_applied,gross_revenue,campaign_id,refund_flag
1,12/27/2021 8:25,59540,3,0,43.74,0,0
2,06/06/2023 21:14,54871,3,0,174.78,21,0
3,08/31/2023 5:29,51818,1,0,40.61,37,0
4,06/26/2022 20:33,18164,2,0.15,68.76,13,0
5,07/26/2023 18:12,86915,1,0,14.64,4,0
6,01/19/2023 14:05,10749,2,0,169.74,13,0
7,07/28/2023 9:37,25984,2,0,42.48,21,0
8,07/10/2022 7:29,85140,1,0,36.95,2,0
9,11/02/2023 5:22,52930,1,0,125.59,23,0
10,01/25/2021 6:28,69172,1,0.15,48.72,44,0
11,06/27/2022 7:48,13992,2,0,94.7,13,0
12,04/04/2021 21:06,69122,1,0.2,-97.41,30,1
13,03/09/2023 15:36,45997,1,0,100.76,43,0
14,05/03/2022 20:41,4344,1,0,17.92,0,0
15,07/27/2021 16:22,30203,1,0,123.87,46,0
16,02/13/2021 7:36,33154,1,0.05,,29,0
17,08/27/2023 12:23,25737,2,0.1,69.57,44,0
18,03/30/2023 16:42,75725,1,0,138.25,19,0
19,07/26/2021 14:10,11918,1,0,251.08,19,0
20,07/31/2023 13:11,30583,1,0,-176.65,4,1
21,03/29/2023 19:49,52652,1,0,,40,0
22,08/01/2021 15:47,30425,1,0.15,,49,0
23,11/29/2022 12:58,58277,1,0,47.82,46,0
24,09/16/2022 14:44,34898,1,0,18.39,36,0
25,11/03/2021 6:20,17574,3,0,178.05,33,0
26,01/26/2021 9:47,81956,1,0,73.88,21,0
27,09/03/2023 12:48,36945,1,0.1,84.8,0,0
28,05/16/2022 14:05,91979,1,0.15,12.06,24,0
29,08/13/2022 7:29,2530,1,0.15,12.55,0,0
30,09/19/2021 16:44,25399,1,0.05,12.25,4,0
31,01/17/2022 13:07,5903,1,0.2,26.79,34,0
32,08/24/2021 4:50,94982,1,0,28.55,0,0
33,09/27/2022 17:48,81409,1,0,27.33,37,0
34,05/07/2021 4:07,81957,1,0,45.88,24,0
35,12/27/2022 22:28,16728,1,0.05,104.11,10,0
36,10/04/2022 7:05,2322,1,0.1,59.99,14,0
37,11/28/2023 21:37,82265,4,0,124.12,40,0
38,09/07/2023 5:51,6301,1,0.1,67.9,28,0
39,01/18/2021 20:52,29955,1,0.1,39.83,0,0
40,02/21/2021 22:44,3897,1,0,71.93,0,0
41,12/02/2022 15:37,83860,1,0,14.64,38,0
42,04/28/2023 8:34,69804,3,0.15,197.45,27,0
43,09/05/2021 18:58,90703,1,0.2,51.09,22,0
44,03/11/2021 22:04,91593,1,0.15,78.91,16,0
45,12/04/2023 20:24,64997,1,0,55.97,1,0
46,05/17/2022 18:28,70071,1,0,60,5,0
47,10/22/2021 8:28,84477,1,0,62.29,31,0
48,11/18/2021 16:02,18030,1,0.1,55.4,31,0
49,12/23/2023 7:08,29815,1,0,79.4,16,0
50,11/11/2021 20:27,38085,1,0,146.29,18,0
51,09/21/2022 14:44,88270,3,0.1,71.52,16,0
52,08/06/2023 15:34,88590,1,0,41.36,13,0
53,01/25/2021 13:56,92155,1,0,44.12,7,0
54,07/16/2022 10:31,18777,1,0.05,132.92,45,0
55,05/23/2022 10:01,26849,1,0,63.61,43,0
56,06/13/2023 4:11,1280,3,0.15,,0,0
57,07/24/2023 18:14,12129,1,0.1,10.81,2,0
58,07/23/2022 20:38,32032,1,0.05,,13,0
59,07/27/2021 16:12,23261,1,0.05,60.13,39,0
60,03/04/2022 23:55,69136,1,0,22.72,8,0
61,05/28/2021 3:50,51876,1,0,71.1,32,0
62,10/26/2021 11:12,89622,1,0.05,57.32,35,0
63,12/23/2022 12:38,96081,1,0.15,84.38,39,0
64,09/28/2021 17:12,48071,1,0,44.57,8,0
65,03/06/2023 20:03,24473,1,0.15,8.02,8,0
66,05/02/2023 8:21,34929,2,0,60.88,45,0
67,09/01/2022 14:54,42861,1,0,60.06,21,0
68,03/25/2022 17:32,28452,1,0,60.2,32,0
69,04/30/2022 17:33,66995,2,0,147.3,13,0
70,07/08/2022 15:55,73328,1,0,97.21,49,0
71,06/16/2023 14:48,98281,1,0,,38,0
72,04/24/2023 6:26,49399,1,0,10.13,0,0
73,08/31/2022 7:06,45874,1,0.05,10.09,3,0
74,12/19/2021 1:50,42309,1,0.1,125.93,20,0
75,04/23/2023 5:16,68810,1,0,137.36,44,0
76,01/13/2021 17:24,15162,3,0.2,197.02,6,0
77,08/06/2023 13:53,79934,1,0.1,64.71,0,0
78,06/21/2022 16:58,61465,1,0.15,21.11,5,0
79,01/19/2022 22:58,74249,1,0.05,64.07,0,0
80,04/16/2023 18:29,56933,1,0,97.87,44,0
81,10/31/2021 4:51,52034,1,0,55.07,35,0
82,06/01/2022 22:05,7319,2,0,53.46,48,0
83,09/16/2021 20:30,99840,1,0.05,81.48,13,0
84,08/18/2021 7:33,14316,1,0,57.32,40,0
85,01/15/2021 12:43,25867,3,0,132.75,14,0
86,10/10/2021 16:40,8983,1,0.15,49.03,15,0
87,04/13/2021 15:54,68463,1,0,133.2,16,0
88,01/25/2023 20:28,42213,1,0.1,-46.32,9,1
89,10/10/2022 15:51,80661,1,0.1,85.15,42,0
90,08/07/2021 19:36,92375,1,0,52.91,0,0
91,12/12/2021 13:07,77759,1,0,116.8,2,0
92,08/31/2022 6:02,69456,2,0,544.88,7,0
93,08/05/2023 9:27,43834,1,0,45.75,50,0
94,05/24/2023 6:31,43424,1,0.1,20.74,15,0
95,11/29/2023 16:42,25556,2,0,206.96,16,0
96,11/03/2021 18:21,2502,4,0.05,322.7,18,0
97,11/04/2023 18:12,89129,1,0,,21,1
98,12/10/2021 5:38,1885,3,0,347.82,0,0
99,09/13/2021 11:18,2817,4,0.05,,45,0
100,02/24/2023 11:20,83870,1,0,,18,0
101,01/21/2023 7:15,55614,2,0,124.26,17,0
102,11/22/2021 20:51,87434,2,0,211.88,29,0
103,03/27/2022 4:22,50598,1,0,23.91,45,0
104,09/26/2021 7:26,6832,1,0.2,61.06,16,0
105,07/11/2021 7:02,43544,1,0,56.48,14,0
106,05/16/2021 22:05,37469,1,0.2,10.4,42,0
107,03/13/2022 10:40,64614,1,0,70.58,9,0
108,07/04/2022 7:29,60635,4,0,537.48,0,0
109,12/27/2021 21:48,99104,1,0,106.29,28,0
110,05/17/2022 5:37,3708,2,0.1,,0,0
111,08/15/2021 14:18,31530,1,0,14.9,38,0
112,12/31/2023 15:59,41424,1,0,42.74,7,0
113,10/07/2021 6:49,26705,2,0.2,139.12,0,0
114,04/15/2021 3:32,15676,1,0,160.51,18,0
115,05/22/2021 8:56,18464,1,0.1,22.23,0,0
116,08/09/2022 13:14,71866,1,0,51,28,0
117,12/28/2021 8:37,64563,1,0,74.12,24,0
118,08/04/2021 12:37,4200,1,0,73.65,41,0
119,08/06/2023 12:40,70728,1,0,50.23,5,0
120,09/23/2022 15:27,24374,1,0.05,54.37,1,0
121,12/13/2022 16:08,94811,1,0,59.43,0,0
122,08/23/2021 20:46,16626,1,0,148.63,29,0
123,05/26/2022 16:44,70122,1,0,54.57,32,0
124,01/15/2023 20:05,17572,1,0.1,77.48,38,0
125,07/01/2022 9:26,46053,1,0.15,57.3,4,0
126,12/16/2021 0:15,73295,1,0.05,79.32,38,0
127,05/17/2023 1:47,5711,1,0.1,14.5,41,0
128,10/17/2021 16:47,31683,3,0.1,268.11,38,0
129,05/23/2021 16:32,37161,1,0,25.42,17,0
130,06/29/2021 17:20,92091,1,0.2,97.1,8,0
131,07/29/2021 7:05,71968,1,0.05,39.2,49,0
132,03/14/2021 13:55,14197,1,0.05,172.85,0,0
133,07/10/2022 6:37,24828,2,0.1,75.62,29,0
134,01/20/2021 2:50,29802,1,0,11.89,0,0
135,11/20/2022 9:29,39611,1,0.05,35.63,0,0
136,11/13/2022 6:43,88196,3,0.1,504.66,4,0
137,03/16/2021 4:36,57070,1,0.15,48.82,11,0
138,09/09/2021 10:57,29284,1,0,127.77,21,0
139,05/26/2022 8:35,16830,1,0,49.38,50,0
140,06/18/2021 18:11,71300,2,0,304.96,0,0
141,04/19/2022 7:01,51594,2,0,95.62,5,0
142,11/29/2021 6:59,82932,1,0,92.26,29,0
143,07/18/2023 8:08,74278,1,0,65.12,6,0
144,01/17/2021 19:16,8095,1,0.05,106.79,0,0
145,06/19/2023 20:56,40384,1,0.05,,14,0
146,05/03/2023 8:30,78138,1,0,10.13,47,0
147,09/10/2021 9:33,17886,1,0,14.72,33,0
148,03/21/2023 11:05,92546,1,0.1,46.27,8,0
149,07/04/2023 7:00,64732,1,0.05,132.2,0,0
150,12/19/2022 16:03,16862,1,0.2,78.62,27,0
151,06/03/2022 16:34,60049,2,0.15,40.17,32,0
152,03/28/2022 2:12,69024,2,0,116.42,28,0
153,09/08/2022 7:08,59063,1,0,71.58,12,0
154,06/01/2022 5:59,1151,1,0,80.73,15,0
155,08/16/2022 3:39,90642,1,0,14.98,0,0
156,07/10/2021 19:57,59327,1,0,41.19,25,0
157,02/21/2022 15:04,14717,1,0.1,271.65,30,0
158,10/13/2023 10:54,78769,1,0,99.89,16,0
159,08/27/2021 8:58,22042,3,0,32.97,0,0
160,05/24/2023 8:50,37581,1,0,,4,0
161,10/29/2023 17:55,32600,1,0,138.05,37,0
162,02/21/2022 5:38,90918,1,0,136.97,40,0
163,12/30/2021 22:22,99052,3,0,202.38,0,0
164,07/11/2022 21:32,50392,1,0.1,46.65,28,0
165,04/01/2021 23:05,8392,1,0.05,144.55,18,0
166,06/26/2022 18:45,20590,1,0,,0,0
167,03/27/2023 23:51,55821,2,0.15,119.99,46,0
168,11/20/2023 15:39,14983,1,0,89.69,8,0
169,04/24/2023 10:27,96673,3,0,,23,0
170,04/10/2023 19:53,12388,2,0.1,-85.23,8,1
171,03/20/2021 18:25,49071,2,0,113.56,0,0
172,05/13/2021 18:51,48960,1,0.1,75.95,40,0
173,04/20/2021 12:03,61048,1,0,108.79,8,0
174,11/03/2022 17:38,12271,1,0.1,55.08,31,0
175,08/15/2023 17:45,58619,1,0,14.64,40,0
176,10/29/2022 5:02,17091,1,0.1,39.82,42,0
177,05/26/2021 0:35,45870,1,0.05,23.46,31,0
178,04/28/2022 12:18,23436,1,0,20.35,3,0
179,11/18/2023 0:32,65939,2,0,160.74,5,0
180,08/26/2023 8:07,7100,2,0.2,,44,0
181,05/30/2022 7:45,86612,2,0.1,79.92,0,0
182,09/19/2021 5:02,43633,1,0,116.18,40,0
183,08/27/2023 17:20,54814,1,0.1,41.18,0,0
184,12/01/2022 7:30,26365,2,0,159.24,11,0
185,08/20/2021 19:20,72138,1,0.1,69.29,23,0
186,12/19/2021 22:26,58727,1,0,12.2,44,0
187,12/21/2021 6:37,84870,2,0,102.66,0,0
188,06/16/2023 3:52,71378,1,0.05,77.5,0,0
189,10/29/2021 5:57,28535,1,0,18.51,42,0
190,06/19/2021 15:46,93083,1,0.05,132.51,49,0
191,06/08/2021 18:26,73350,1,0,74.8,11,0
192,01/29/2021 16:09,76684,2,0.05,186.14,50,0
193,01/07/2022 21:00,63944,1,0.05,129.11,9,0
194,12/17/2023 5:25,56689,1,0,38.78,37,0
195,12/25/2022 18:51,84816,1,0,85.6,16,0
196,05/24/2021 2:34,45008,2,0.1,96.71,20,0
197,10/11/2021 19:17,87188,1,0,113.4,38,0
198,02/26/2023 16:55,30757,1,0.15,52.33,31,0
199,03/12/2022 23:00,6972,1,0,56.49,45,0
200,05/15/2022 0:35,47476,1,0.05,29.48,18,0
201,01/26/2023 23:00,3555,2,0,30.48,0,0
202,09/14/2023 5:50,11694,2,0,32.22,5,0
203,02/12/2023 16:39,65914,1,0.15,20.27,0,0
204,04/23/2022 19:37,83912,2,0.05,59.98,29,0
205,09/02/2023 21:48,73315,1,0,23.73,27,0
206,12/20/2021 6:19,35206,1,0,49.26,3,0
207,06/10/2023 21:44,85649,1,0.2,,45,0
208,05/16/2021 19:38,89899,2,0.1,503.77,36,0
209,09/18/2021 14:20,83702,1,0.05,13.09,31,0
210,11/15/2022 17:48,92014,1,0.1,62.15,5,0
211,10/08/2021 21:41,50618,1,0,161.21,37,0
212,07/18/2022 2:00,55786,1,0.15,36.53,10,0
213,02/14/2022 0:58,86010,1,0.15,10.21,28,0
214,04/26/2023 9:27,54499,1,0.2,25.53,43,0
215,08/10/2021 16:32,32810,1,0,20.91,45,0
216,03/10/2021 20:07,44201,4,0.1,53.68,0,0
217,11/21/2022 19:57,66259,2,0,131.9,48,0
218,07/03/2022 13:25,23457,1,0,167.2,47,0
219,04/19/2021 5:57,39522,1,0,73.34,20,0
220,06/06/2021 18:48,39633,1,0,13.51,25,0
221,01/01/2023 0:54,60895,1,0.15,,36,0
222,12/21/2021 14:07,93128,3,0,49.62,46,0
223,12/18/2022 19:05,19294,2,0,262.88,4,0
224,01/15/2022 3:15,43331,1,0.1,47,7,0
225,03/27/2021 19:51,26535,1,0.15,24.34,44,0
226,03/22/2021 7:01,61207,1,0.1,99.07,25,0
227,06/14/2021 18:28,30441,1,0,34.58,16,0
228,09/29/2022 21:57,39338,1,0,55.87,0,0
229,11/05/2023 17:41,71717,1,0.1,120.13,39,0
230,01/07/2021 1:29,87884,3,0.1,135.16,18,0
231,10/30/2023 21:48,23133,1,0,50.01,25,0
232,11/09/2021 20:19,50419,1,0.05,53.17,46,0
233,09/15/2022 16:38,57173,1,0.15,61.98,0,0
234,10/06/2022 1:08,45663,2,0,212.92,7,0
235,11/30/2021 7:07,58675,2,0.05,78.39,5,0
236,06/25/2023 21:31,35675,1,0,56.9,0,0
237,05/27/2023 13:39,45652,2,0,114.1,0,0
238,11/07/2023 5:30,23994,1,0.1,41.7,27,0
239,05/13/2023 8:56,54750,1,0,36.56,0,0
240,01/24/2021 9:20,494,1,0.1,118.21,45,0
241,04/26/2022 1:31,26504,1,0,28.26,0,0
242,12/17/2023 8:06,32988,1,0.15,20.27,24,0
243,05/25/2021 3:07,42016,1,0,54.57,45,0
244,08/25/2021 19:15,45628,1,0,101.85,44,0
245,04/05/2023 18:29,69017,1,0.05,110,1,0
246,01/31/2022 22:55,47701,1,0.05,257.04,20,0
247,04/23/2022 20:40,44037,2,0,27.12,49,0
248,10/14/2022 15:18,32353,1,0.05,,16,0
249,01/19/2021 12:54,37776,1,0.2,22.54,32,0
250,07/02/2023 6:12,56791,1,0.05,-121.87,49,1
251,02/23/2022 5:41,64323,2,0,,17,0
252,10/18/2022 20:04,95449,1,0.1,84.74,4,0
253,01/01/2023 15:13,93428,1,0,8.29,16,0
254,05/06/2023 13:07,51344,1,0,226.78,16,0
255,12/21/2022 2:28,36746,3,0.05,136.26,0,0
256,02/04/2022 7:55,80971,1,0,31.03,23,0
257,01/08/2022 16:15,75228,2,0,133.04,27,0
258,01/16/2021 12:42,20074,1,0,76.17,37,0
259,07/25/2023 22:37,28411,1,0,36.89,17,0
260,04/23/2023 17:44,7643,1,0,40.61,0,0
261,03/18/2021 23:54,62889,1,0,88.93,18,0
262,03/10/2021 11:47,83181,1,0.15,5.95,32,0
263,01/30/2022 7:50,59811,1,0,68.28,43,0
264,12/18/2022 20:28,19227,1,0.05,14.34,48,0
265,11/29/2021 3:20,3714,1,0,23.57,40,0
266,09/07/2022 5:43,90080,1,0,54.35,0,0
267,11/28/2021 5:00,48374,1,0,135.91,0,0
268,01/21/2022 6:59,80844,1,0.05,82.6,29,0
269,04/21/2023 17:53,23296,1,0,11.95,12,0
270,07/05/2023 16:33,13520,1,0,86.75,50,0
271,01/02/2022 14:36,36358,1,0,86.95,40,0
272,03/25/2022 1:45,92173,1,0,69.3,28,0
273,08/12/2022 23:39,95368,1,0,121.92,8,0
274,12/26/2021 17:01,8217,2,0,380.82,19,0
275,12/05/2023 5:12,30396,2,0,165.18,16,0
276,05/30/2021 6:30,61024,1,0.15,95.42,42,0
277,02/17/2022 7:39,57639,1,0.1,14.01,11,0
278,02/17/2022 20:23,95144,1,0,33.22,0,0
279,05/21/2023 19:25,87788,1,0.1,23.57,25,0
280,12/02/2023 5:49,16009,3,0,158.25,27,0
281,03/07/2023 3:36,2379,1,0,15.44,34,0
282,10/05/2023 18:51,39790,1,0,17.87,37,0
283,03/21/2021 17:06,82359,2,0,,0,0
284,08/05/2022 8:46,43985,2,0.05,23.18,0,0
285,10/23/2021 14:46,8156,1,0,40.81,7,0
286,06/15/2022 13:22,99447,1,0,65.76,44,0
287,11/11/2021 10:28,57757,1,0,47.35,42,0
288,10/08/2021 18:27,62177,1,0.1,13.51,9,0
289,07/04/2023 5:15,16638,1,0.15,,44,0
290,07/18/2022 8:49,7978,2,0.15,391.12,15,0
291,06/08/2022 11:08,27149,1,0.1,47.48,3,0
292,07/08/2023 16:50,75987,1,0,100.67,15,0
293,09/05/2022 10:13,64420,1,0.05,46.86,19,0
294,05/09/2022 6:51,75323,1,0,86.99,13,0
295,02/25/2021 16:48,39505,4,0,138.84,24,0
296,11/04/2021 11:28,77294,3,0.1,187.49,31,0
297,04/11/2023 17:42,88242,1,0.05,10.36,12,0
298,04/24/2021 17:14,71287,2,0,144.3,41,0
299,09/19/2021 16:10,74241,1,0,83.69,26,0
300,06/12/2021 19:51,54831,3,0,110.31,50,0
301,01/25/2021 21:10,780,1,0,49.33,5,0
302,10/09/2022 15:56,22845,1,0,157.3,21,0
303,10/07/2022 7:29,91794,1,0.05,23.7,13,0
304,03/06/2023 6:06,33515,1,0.05,25.6,0,0
305,11/12/2021 17:45,74942,4,0,144.56,17,0
306,11/21/2022 16:11,28175,3,0,211.53,34,0
307,04/11/2023 18:50,89867,1,0.05,20.7,40,0
308,03/24/2021 8:16,5572,3,0,36.6,40,0
309,05/18/2022 12:17,32908,1,0,118.46,8,0
310,11/05/2022 7:54,97107,1,0,175.43,0,0
311,07/24/2021 7:54,42179,1,0.05,76.47,27,0
312,08/12/2022 20:30,54168,1,0,53.64,2,0
313,07/22/2023 14:17,63235,2,0.15,94.03,7,0
314,06/25/2021 5:35,56881,1,0,55.07,6,0
315,12/11/2021 11:20,47436,1,0,107.98,28,0
316,11/04/2023 6:43,41531,4,0,208.88,4,0
317,04/09/2023 15:16,66349,1,0.05,8.01,7,0
318,11/21/2022 8:52,4295,1,0,9.01,26,0
319,04/12/2021 22:24,69838,1,0,13.51,0,0
320,06/05/2022 10:21,20422,1,0.15,75.38,2,0
321,07/27/2021 18:40,88294,2,0.2,136.66,0,0
322,05/27/2023 5:57,47838,1,0.05,77.78,12,0
323,02/09/2021 10:25,57843,1,0,28.14,43,0
324,06/29/2023 8:57,28320,1,0.15,70.69,18,0
325,05/08/2023 7:02,40660,1,0,196.6,14,0
326,02/28/2023 14:37,76280,2,0.1,69.53,0,0
327,02/01/2022 2:21,84307,2,0,217.12,33,0
328,11/30/2021 12:43,39948,1,0.2,22.61,49,0
329,05/22/2023 0:38,19261,1,0.1,38.48,18,0
330,01/07/2022 13:22,72191,1,0.05,109.83,8,0
331,12/21/2023 8:23,27075,1,0.1,18.09,18,0
332,07/14/2023 10:53,94125,1,0,46.55,36,0
333,11/26/2021 22:49,42431,1,0,25.84,37,0
334,05/25/2021 16:45,58899,1,0.1,29.74,31,0
335,12/26/2022 14:10,20052,1,0,196.26,7,0
336,05/26/2021 18:51,57150,1,0,96.17,30,0
337,03/31/2022 16:13,13480,3,0.1,39.99,0,0
338,08/06/2021 4:01,44176,3,0.05,230.08,0,0
339,11/24/2022 5:54,29707,1,0,15.1,0,0
340,01/04/2022 16:24,66822,1,0,21.34,45,0
341,11/28/2023 13:38,30256,2,0,,22,0
342,05/22/2021 0:11,57066,1,0.05,45.55,0,0
343,06/02/2021 20:29,25755,1,0,53.62,4,0
344,10/09/2023 19:45,81674,1,0.05,106.65,5,0
345,12/19/2022 20:20,87530,2,0,299.76,22,0
346,08/09/2023 18:29,81775,1,0,98.66,44,0
347,11/05/2022 5:08,42693,1,0,12.2,0,0
348,06/24/2023 17:56,65844,1,0,60.39,8,0
349,06/13/2022 20:12,33361,2,0.1,90.88,0,0
350,05/23/2022 4:13,67757,1,0.05,53,0,0
351,11/20/2023 13:34,10884,1,0,126.17,25,0
352,11/04/2023 7:56,57470,1,0,52.79,7,0
353,01/02/2021 10:51,39884,1,0.2,119.5,0,0
354,03/25/2021 23:26,87493,3,0,109.68,40,0
355,06/01/2021 21:08,3372,1,0,71.9,48,0
356,02/26/2021 15:04,41854,2,0,168.22,36,0
357,05/14/2023 16:23,3156,4,0,380.36,34,0
358,12/11/2021 20:17,12535,1,0,97.99,24,0
359,01/21/2021 13:08,6971,1,0.2,117.1,28,0
360,01/08/2022 9:40,20144,1,0,10.39,43,0
361,11/19/2022 2:44,4470,1,0,52.99,18,0
362,09/28/2021 11:56,20515,1,0,183.56,14,0
363,02/01/2021 21:00,45270,1,0,,0,0
364,03/25/2023 11:07,45659,2,0.05,22.82,0,0
365,03/25/2022 20:14,59990,1,0,37.49,9,0
366,06/07/2022 15:31,79142,1,0.2,7.87,47,0
367,10/16/2022 19:50,43391,1,0,153.25,48,0
368,12/26/2021 23:43,40465,3,0,305.55,29,0
369,06/20/2022 9:36,99307,1,0,10.26,29,0
370,11/12/2023 19:54,63598,1,0.1,74.06,19,0
371,06/07/2022 13:33,87054,1,0,94.61,7,0
372,02/26/2022 15:46,28109,1,0.05,151.81,23,0
373,09/17/2022 11:37,84539,1,0,102.13,44,0
374,01/24/2023 20:56,15706,4,0.2,559.17,0,0
375,02/22/2022 12:58,5291,4,0,134.12,26,0
376,12/21/2021 17:19,83959,1,0,42.69,12,0
377,12/27/2023 13:30,111,1,0,19.95,18,0
378,05/22/2023 5:19,86692,1,0,11.22,50,0
379,05/01/2021 6:40,54847,1,0,94.22,25,0
380,12/05/2023 18:25,8093,1,0,104.63,37,0
381,11/28/2023 19:16,22882,1,0.05,38.58,0,0
382,02/25/2022 5:52,97047,1,0.05,14.46,7,0
383,05/13/2023 5:38,53227,1,0,83.89,44,0
384,06/24/2022 16:11,751,1,0,38.6,47,0
385,04/26/2023 0:34,18663,1,0,75.78,46,0
386,11/10/2021 23:06,8703,1,0.2,28.1,2,0
